Station ID,City,State,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
14711,MIDDLETOWN/HARRISBURG,PA,23,24.7,32.3,42.5,53.1,62.7,67.8,65.8,58.2,46,35.8,28.2,45
13739,PHILADELPHIA,PA,26,27.5,34.3,44.3,54.2,63.9,69.6,67.9,60.9,49.2,38.8,31.2,47.3
94823,PITTSBURGH,PA,21.4,23.2,30.3,40.7,50.6,59.3,63.4,62,54.8,43.7,34.3,26.7,42.5
14777,AVOCA,PA,20.3,21.9,28.9,39.3,49.6,58.1,62.7,61.1,54,43.3,34.3,26.3,41.7
14778,WILLIAMSPORT,PA,20.1,21.5,29,39,49.1,58.3,62.7,61.2,54.1,42.8,33.2,25.8,41.4
14765,PROVIDENCE,RI,22.1,23.5,30.2,39.6,49.2,58.8,65.2,63.9,56.5,45.1,35.8,27.6,43.1
13782,CHARLESTON,SC,43.6,46.1,52,59.7,68,74.2,77.1,76.5,72.5,63.2,53.1,46.8,61.1
13883,COLUMBIA,SC,34.6,37.3,43.6,51.5,60.5,68.6,72,71.2,65.3,52.7,41.6,36.5,53
3870,GREENVILLE-SPARTANBURG,SC,32.1,34.8,41.2,48.7,57.5,65.5,69.2,68.3,62.4,50.4,40.4,34.8,50.4
14929,ABERDEEN,SD,1.9,6.3,19.4,31.4,44.3,55.1,59.7,56.5,46.8,33.3,19.4,7.9,31.8
14936,HURON,SD,6.2,10.2,22.1,33.6,45.9,56.7,61.6,59.2,49.5,35.5,22.2,11,34.5
24090,RAPID CITY,SD,12.7,14,22.6,31.2,41.7,51.6,58.5,56.2,46.4,33.7,21.9,13.9,33.7
14944,SIOUX FALLS,SD,8.5,12.6,24.3,35.5,47.5,58.8,63.4,61.1,51.9,38.1,24.5,13.4,36.6
13877,BRISTOL-JHNSN CTY-KNGSPRT,TN,26.3,29.2,35.4,43.3,52.3,60.7,64.7,63.2,56.4,44.3,34.2,29.2,44.9
13882,CHATTANOOGA,TN,32.4,35.6,42.2,49.9,59,67.3,71,70.2,63.6,51.4,40.3,35.3,51.5
13891,KNOXVILLE,TN,30,33.1,39.8,48,56.9,64.9,68.7,67.5,61.1,48.9,38.1,32.8,49.2
