Station ID,City,State,Start Date,End Date,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
14847,SAULT STE. MARIE,MI,1931,2023,-36,-37,-28,-2,18,26,36,29,25,16,-10,-31,-37
14913,DULUTH,MN,1948,2023,-39,-39,-29,-5,17,27,35,32,23,8,-23,-34,-39
14918,INTERNATIONAL FALLS,MN,1906,2023,-55,-48,-38,-14,8,23,32,27,19,2,-32,-41,-55
14922,MINNEAPOLIS-ST.PAUL,MN,1938,2023,-34,-32,-32,2,18,34,43,39,26,13,-17,-29,-34
14925,ROCHESTER,MN,1893,2023,-40,-35,-31,5,21,31,40,32,22,10,-20,-33,-40
14926,SAINT CLOUD,MN,1939,2023,-43,-40,-32,-3,19,32,40,33,18,5,-20,-41,-43
3940,JACKSON,MS,1963,2023,2,10,15,27,36,47,51,54,35,26,17,4,2
13865,MERIDIAN,MS,1944,2023,0,8,15,28,38,42,54,53,34,24,16,2,0
93862,TUPELO,MS,1962,2023,-12,4,7,23,30,41,50,50,32,24,11,-3,-12
3945,COLUMBIA,MO,1969,2023,-19,-15,-5,19,29,40,48,42,32,22,0,-20,-20
3947,KANSAS CITY,MO,1972,2023,-17,-19,-10,12,30,42,51,43,31,17,1,-23,-23
13994,ST. LOUIS,MO,1938,2023,-18,-12,-5,22,31,43,51,47,32,22,1,-16,-18
13995,SPRINGFIELD,MO,1940,2023,-13,-17,-8,18,29,42,44,44,30,18,4,-16,-17
24033,BILLINGS,MT,1948,2023,-30,-28,-21,3,14,32,41,35,22,-7,-22,-32,-32
94008,GLASGOW,MT,1948,2023,-50,-38,-29,-4,17,30,41,33,15,-6,-26,-38,-50
24143,GREAT FALLS,MT,1937,2023,-37,-35,-32,-8,12,31,36,30,12,-11,-25,-43,-43
94012,HAVRE,MT,1961,2023,-52,-44,-32,-14,14,29,39,33,18,-21,-30,-50,-52
24144,HELENA,MT,1938,2023,-42,-42,-30,1,17,30,36,28,18,-8,-39,-38,-42
24146,KALISPELL,MT,1896,2023,-38,-36,-29,-8,17,26,30,30,7,-4,-28,-35,-38
24153,MISSOULA,MT,1948,2023,-33,-27,-13,14,21,30,31,30,20,-7,-23,-30,-33
14935,GRAND ISLAND,NE,1938,2023,-28,-27,-21,7,23,36,42,40,23,9,-11,-26,-28
14939,LINCOLN,NE,1948,2023,-33,-31,-19,3,24,39,45,39,26,8,-5,-27,-33
14941,NORFOLK,NE,1945,2023,-27,-31,-20,2,24,37,42,40,26,11,-15,-30,-31
24023,NORTH PLATTE,NE,1948,2023,-25,-29,-25,4,18,29,39,35,17,4,-13,-34,-34
14942,OMAHA,NE,1948,2023,-23,-23,-16,5,27,38,44,43,25,13,-9,-23,-23
24028,SCOTTSBLUFF,NE,1893,2023,-33,-46,-27,-8,12,30,35,30,14,-10,-21,-42,-46
24032,VALENTINE,NE,1948,2023,-30,-33,-29,3,18,30,38,34,17,-4,-22,-39,-39
24121,ELKO,NV,1888,2023,-43,-41,-15,-2,10,12,28,20,9,0,-16,-41,-43
23154,ELY,NV,1893,2023,-27,-30,-13,-5,7,18,28,24,15,-7,-20,-29,-30
23169,LAS VEGAS,NV,1948,2023,8,16,23,31,40,48,60,56,46,26,21,11,8
23185,RENO,NV,1937,2023,-16,-16,0,13,18,25,33,24,20,8,1,-16,-16
24128,WINNEMUCCA,NV,1877,2023,-36,-28,-3,6,10,23,29,26,12,-2,-10,-37,-37
14745,CONCORD,NH,1939,2023,-33,-37,-16,4,21,26,33,29,20,10,-5,-22,-37
14755,MT. WASHINGTON,NH,1948,2023,-46,-47,-38,-20,-2,13,24,20,9,-2,-26,-41,-47
93730,ATLANTIC CITY,NJ,1958,2023,-10,-11,2,12,25,37,42,40,32,20,10,-2,-11
14734,NEWARK,NJ,1893,2023,-10,-9,3,13,33,41,49,45,34,25,13,-13,-13
23050,ALBUQUERQUE,NM,1931,2023,-17,-7,8,18,28,40,52,50,35,19,-7,-7,-17
23051,CLAYTON,NM,1896,2023,-21,-18,-11,7,20,31,40,42,26,6,-10,-14,-21
23009,ROSWELL,NM,1949,2023,-19,-11,9,23,34,47,56,54,40,14,4,-8,-19
14735,ALBANY,NY,1938,2023,-28,-22,-21,10,26,35,40,34,24,16,-11,-22,-28
4725,BINGHAMTON,NY,1951,2023,-20,-18,-7,9,24,33,39,37,25,17,0,-18,-20
14733,BUFFALO,NY,1938,2023,-16,-20,-7,12,26,35,43,38,31,20,7,-10,-20
4781,ISLIP,NY,1963,2023,-8,-14,0,16,32,42,49,45,38,23,11,-1,-14
94728,NEW YORK Central Park,NY,1869,2023,-6,-15,3,12,32,44,52,50,39,28,5,-13,-15
94789,NEW YORK JFK AP,NY,1948,2023,-2,-2,7,20,34,45,55,46,40,30,15,2,-2
14732,NEW YORK Laguardia AP,NY,1939,2023,-3,-7,7,22,36,46,56,51,42,30,17,-2,-7
14768,ROCHESTER,NY,1926,2023,-17,-22,-9,13,26,35,42,36,28,20,4,-16,-22
14771,SYRACUSE,NY,1938,2023,-26,-26,-16,9,25,34,44,38,25,18,-1,-26,-26
3812,ASHEVILLE,NC,1946,2023,-16,-2,2,20,27,35,44,42,28,16,-2,-7,-16
93729,CAPE HATTERAS,NC,1957,2023,6,12,19,26,39,44,54,56,45,32,22,12,6
13881,CHARLOTTE,NC,1939,2023,-5,5,4,21,32,45,53,50,39,24,11,2,-5
13723,GREENSBORO-WNSTN-SALM-HGHPT,NC,1928,2023,-8,-4,5,21,32,42,48,45,35,20,10,0,-8
13722,RALEIGH,NC,1944,2023,-9,0,11,23,29,38,48,46,37,19,11,4,-9
13748,WILMINGTON,NC,1948,2023,5,11,9,29,35,48,55,55,44,27,16,0,0
24011,BISMARCK,ND,1948,2023,-44,-43,-31,-12,15,30,35,33,11,-10,-30,-43,-44
14914,FARGO,ND,1891,2023,-36,-39,-34,-7,17,30,36,31,19,5,-28,-32,-39
14916,GRAND FORKS,ND,1941,2023,-43,-40,-38,-8,5,30,30,31,18,6,-31,-33,-43
94014,WILLISTON,ND,1894,2019,-42,-50,-35,-15,10,26,34,32,13,-9,-27,-50,-50
